id,screen_name,retweet
1236038472072388613,rollingstoneBR,false
1236038290257649664,MateriaFountain,true
1236038381923995648,nathanv36,false
1236041027045163010,MrOkra,false
1236041048494878721,JoseMVilar,true
1236041122184663041,BabsSheKing,true
1236041124529258500,johnariaz,true
1236041129331765250,DenisGouaux,true
1236041131219173376,OKenays,true
1236041076085075969,sequincult,true
1236041097593466892,campbellh,false
1236040994438516736,tsumatomo_0727,false
1236040973282492416,Herodedalus,true
1236041072154902533,gvlarnell,false
1236041168254889985,guardian,false
1236041004513402881,WBGO,false
1236043902479523840,hollisjames,true
1236043902681001987,Wendycroy888,true
1236043914504593408,ciaolimoncello,false
1236043918690652160,ommzms,true
1236043924948398080,sotexsis,true
1236043991113555969,Jedichefmaster,true
1236043995513528324,ecinaj_m,true
1236044000747868160,TMkazz,true
1236044102610739200,shuffle5a,true
1236044113717399553,linc0lnpark,true
1236043956221292545,mattblankzero,true
1236043964924510208,mantaypeli,true
1236044186572533760,kiraale_,true
1236044192218050560,lentilgoblin,true
1236043885249523717,sleepyblackdude,true
1236043889590464512,TheJuuJaan,true
1236044033010647041,DarrylHouston,false
1236044049078984707,EtielGanem,false
1236043934335479809,HaideraHollins,false
1236047536084979712,ReliantEyeball,true
1236047543529689088,porkpiepres,true
1236047546595840001,PaluskaShow,true
1236047436617076741,deltajive,true
1236047446540722179,JoshuaMinton,false
1236047559526842368,TeaGryff,true
1236047561426956289,GustavoSEP1914,true
1236047488903049216,NathanWomack_,true
1236047501754499074,maquinasbanda,true
1236047272884002821,CarterLjeudis,true
1236047276742782987,earthboundboy,true
1236047426890461184,CiteF,true
1236047524152184832,VulaneMthembu,true
1236047373308059648,_blakemills,false
1236047376542031877,PaulEtSonMonde,true
1236047322099957765,pprrwwllrr,false
1236047322888495104,Tastenspieler,false
1236047328659861506,thathomewoodkid,false
1236051156012589056,Migoib,true
1236051158340337670,LapisLee,false
1236051167790030849,elvislver56,true
1236051174668800003,MustaphaKaa1,true
1236051058927034368,PaulKrzych,true
1236051060097191936,CraigMahoney,true
1236050929519976448,bleuguy,true
1236050931281616896,lani_isabelle,true
1236050944481202178,PdeJphoto,true
1236050911363035136,arieswym,true
1236051118398070786,marcsenechal5,true
1236050998659092492,Timmmmmmmmmmm,true
1236051180876206080,gideonyago,false
1236051187323080706,MarlonSaunders,false
1236051034059018240,FrancisHanly,false
1236054526286639105,zukazukazuka,true
1236054537259147264,she534,true
1236054505457885184,AndyHayMusic,true
1236054508771426305,porquetendencia,false
1236054791966674945,IsaiahBrunson2,false
1236054797326979074,jonident1,true
1236054603101343745,CampaignJordie,true
1236054719099002880,Ecojr_,true
1236054816947875841,Henr1queFragoso,false
1236054768511926272,Yasuharu_,false
1236054667219492864,dekunobousenpai,false
1236054670050758662,jonlaine,false
1236056799033192448,BONDCreative,true
1236056813436645377,sonnenhexer,true
1236056816418619392,njosnavelin1,true
1236056819040206848,JulienHXV,true
1236056903546884096,arichardson_phi,false
1236056912430534656,YvesBigot,true
1236056914364071936,youngproduct32,true
1236056825365065728,will_ruddockHMB,false
1236056826300502017,VWHORUSHD,false
1236056831795093504,thecityscape,false
1236056832885616640,TegidRoberts,false
1236056879169548288,maxsidman,false
1236056893166149633,TheJazzSoul,false
1236056847972515840,gdiamondguitar,false
1236056851826896896,rinamilo,false
1236056729193820161,kazu_tsune,false
1236056795929509888,marsupelamy,true
1236056626056044545,morinmartine9,true
1236056654069800960,DeadToMePod,false
1236061424520175619,Jazz88,false
1236061429352009728,SLurg,true
1236061438743138305,icekreamy,true
1236061403561279499,icekreamy,true
1236061404928634882,jonelstr,false
1236061380702167040,SoulBounce,false
1236061390248587266,Will_Stoneir,true
1236061281133752321,eplazavalpo,true
1236061320467951616,REDEF_marc,true
1236061147633250307,jimlovell5,false
1236061239366819841,SONSOFAFRIKA,false
1236061212984725504,scottgranneman,false
1236064277292867594,Tripping_Crutch,true
1236064284616077313,MCargill28,true
1236064290504835073,RTBFinfo,false
1236064359253790720,veux_tu_danser,true
1236064365004099588,khalilibn7,true
1236063972832481280,icekreamy,false
1236063977710456845,markking,true
1236064104718221312,somospizza,false
1236064116239892483,move_over,true
1236063960639639553,MgrdFlorence,true
1236064312168288263,TGT_Taro,false
1236064044714545152,otempo,false
1236064035088580609,trvthloops,false
1236064215145869314,Sid_sadhu14,false
1236066355532754944,EricShapiro3,true
1236066362675654656,EwwAlan,true
1236066307574882304,Ll66Susanpowe,true
1236066330480173060,kentdunne,false
1236066191937921024,Bold_Rick,true
1236066593521553408,Davidlaz,true
1236066256173875200,livegreenordie,true
1236066634118373377,skateghostpurp,true
1236066534314958849,RmstrongEdwarda,true
